epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,42377.5,0.94245,1.152,1.3903,0.68918,0.66479,0.63595,0.48465,1.02136,1.42427,1.59385,0.003466,0.003466,0.003466
101,42989.2,0.93708,1.12832,1.38478,0.69001,0.66455,0.63627,0.48541,1.02209,1.42521,1.59474,0.0034,0.0034,0.0034
102,43559.1,0.94279,1.14237,1.39189,0.68872,0.66388,0.6363,0.4855,1.0221,1.42546,1.5948,0.003334,0.003334,0.003334
103,44132.8,0.92936,1.12593,1.3837,0.68861,0.66332,0.63715,0.48617,1.02267,1.42536,1.59494,0.003268,0.003268,0.003268
104,44834.5,0.93136,1.11981,1.37883,0.68473,0.66286,0.63663,0.48623,1.02245,1.42545,1.59457,0.003202,0.003202,0.003202
105,45409.2,0.93255,1.13196,1.38432,0.68634,0.66326,0.63751,0.48676,1.02275,1.42499,1.59434,0.003136,0.003136,0.003136
106,46107.7,0.93058,1.11773,1.37892,0.68418,0.66816,0.63813,0.4871,1.02306,1.4252,1.59414,0.00307,0.00307,0.00307
107,46735.8,0.9234,1.11,1.37847,0.68579,0.66375,0.63728,0.4868,1.02343,1.42497,1.59437,0.003004,0.003004,0.003004
108,47325.7,0.92932,1.10951,1.37459,0.68676,0.66731,0.6381,0.48687,1.02341,1.42553,1.59414,0.002938,0.002938,0.002938
109,47960.3,0.91769,1.10036,1.3714,0.68601,0.66927,0.63875,0.4874,1.02325,1.42615,1.59361,0.002872,0.002872,0.002872
110,48519.3,0.92233,1.10098,1.37122,0.6848,0.6714,0.63866,0.48742,1.02397,1.42615,1.59412,0.002806,0.002806,0.002806
111,49212.9,0.9187,1.09209,1.37068,0.68789,0.66891,0.63899,0.48774,1.02409,1.42528,1.59402,0.00274,0.00274,0.00274
112,49823.1,0.91919,1.09293,1.37369,0.68994,0.66659,0.63933,0.48827,1.0247,1.42541,1.59465,0.002674,0.002674,0.002674
113,50487.7,0.91401,1.08394,1.36365,0.68886,0.6663,0.63985,0.48859,1.02527,1.42603,1.59521,0.002608,0.002608,0.002608
